id,sentence,annotator1_entities,annotator2_entities,notes
11,పీవీ నరసింహారావు కరీంనగర్ జిల్లాలో పుట్టారు,"పీవీ నరసింహారావు=PER, కరీంనగర్=LOC","పీవీ నరసింహారావు=PER, కరీంనగర్=LOC",Clear PER and LOC
12,రామోజీ రావు ఈనాడు పత్రిక స్థాపించారు,"రామోజీ రావు=PER, ఈనాడు=ORG","రామోజీ రావు=PER, ఈనాడు=ORG",News organization treated as ORG
13,ఐబీఎం సంస్థ బెంగళూరు మరియు హైదరాబాద్ లో పనిచేస్తుంది,"ఐబీఎం=ORG, బెంగళూరు=LOC, హైదరాబాద్=LOC","ఐబీఎం=ORG, బెంగళూరు=LOC, హైదరాబాద్=LOC",Two LOC entities
14,మైక్రోసాఫ్ట్ పుణె లో కొత్త కేంద్రం స్థాపించింది,"మైక్రోసాఫ్ట్=ORG, పుణె=LOC","మైక్రోసాఫ్ట్=ORG, పుణె=LOC",Clear ORG and LOC
15,తిరుమల తిరుపతి దేవస్థానం ఆదాయం పెరిగింది,తిరుమల తిరుపతి దేవస్థానం=ORG,"తిరుమల=LOC, తిరుపతి=LOC, తిరుమల తిరుపతి దేవస్థానం=ORG",Disagreement: whole phrase as ORG vs individual LOC + ORG
16,శ్రీనివాస్ రామానుజన్ గొప్ప గణిత శాస్త్రవేత్త,శ్రీనివాస్ రామానుజన్=PER,శ్రీనివాస్ రామానుజన్=PER,Clear PER
17,ఆంధ్రప్రదేశ్ హైకోర్టు అమరావతి లో ఉంది,"ఆంధ్రప్రదేశ్ హైకోర్టు=ORG, అమరావతి=LOC","ఆంధ్రప్రదేశ్=LOC, హైకోర్టు=ORG, అమరావతి=LOC",Disagreement: ఆంధ్రప్రదేశ్ as part of ORG or separate LOC
18,బాలకృష్ణ నందమూరి నటుడు మరియు రాజకీయవేత్త,బాలకృష్ణ నందమూరి=PER,బాలకృష్ణ నందమూరి=PER,Clear PER
19,ఫ్లిప్కార్ట్ బెంగళూరు లో స్థాపించబడింది,"ఫ్లిప్కార్ట్=ORG, బెంగళూరు=LOC","ఫ్లిప్కార్ట్=ORG, బెంగళూరు=LOC",Clear ORG and LOC
20,అమెజాన్ హైదరాబాద్ లో పెద్ద కార్యాలయం పెట్టింది,"అమెజాన్=ORG, హైదరాబాద్=LOC","అమెజాన్=ORG, హైదరాబాద్=LOC",Clear ORG and LOC
21,వై ఎస్ జగన్ మోహన్ రెడ్డి పులివెందుల లో పుట్టారు,"వై ఎస్ జగన్ మోహన్ రెడ్డి=PER, పులివెందుల=LOC","వై ఎస్ జగన్ మోహన్ రెడ్డి=PER, పులివెందుల=LOC",Long PER span
22,విజయవాడ కృష్ణా నది తీరాన ఉంది,"విజయవాడ=LOC, కృష్ణా=LOC","విజయవాడ=LOC, కృష్ణా నది=LOC",Disagreement: కృష్ణా alone vs కృష్ణా నది as LOC span
23,కిరణ్ కుమార్ రెడ్డి తిరుపతి నుండి ఎన్నికయ్యారు,"కిరణ్ కుమార్ రెడ్డి=PER, తిరుపతి=LOC","కిరణ్ కుమార్ రెడ్డి=PER, తిరుపతి=LOC",Clear PER and LOC
24,శ్రీలంక క్రికెట్ జట్టు విజయవాడ లో ఆడింది,"శ్రీలంక=LOC, శ్రీలంక క్రికెట్ జట్టు=ORG, విజయవాడ=LOC","శ్రీలంక క్రికెట్ జట్టు=ORG, విజయవాడ=LOC",Disagreement: శ్రీలంక as separate LOC vs only part of ORG
25,అక్కినేని నాగార్జున హైదరాబాద్ కు చెందిన నటుడు,"అక్కినేని నాగార్జున=PER, హైదరాబాద్=LOC","అక్కినేని నాగార్జున=PER, హైదరాబాద్=LOC",Clear PER and LOC
26,సుందర్ పిచాయ్ గూగుల్ సంస్థకు సీఈవో గా పనిచేస్తున్నారు,"సుందర్ పిచాయ్=PER, గూగుల్=ORG","సుందర్ పిచాయ్=PER, గూగుల్=ORG",Clear PER and ORG
27,రతన్ టాటా ముంబైలో నివసించేవారు,"రతన్ టాటా=PER, ముంబై=LOC","రతన్ టాటా=PER, ముంబై=LOC",Clear PER and LOC
28,భారత అంతరిక్ష పరిశోధన సంస్థ బెంగళూరులో ఉంది,"భారత అంతరిక్ష పరిశోధన సంస్థ=ORG, బెంగళూరు=LOC","భారత అంతరిక్ష పరిశోధన సంస్థ=ORG, బెంగళూరు=LOC",ISRO full name in Telugu as ORG
29,విరాట్ కోహ్లీ భారత క్రికెట్ జట్టు మాజీ కెప్టెన్,"విరాట్ కోహ్లీ=PER, భారత క్రికెట్ జట్టు=ORG","విరాట్ కోహ్లీ=PER, భారత క్రికెట్ జట్టు=ORG",Clear PER and ORG
30,కేరళ హైకోర్టు ఎర్నాకులం లో ఉంది,"కేరళ హైకోర్టు=ORG, ఎర్నాకులం=LOC","కేరళ హైకోర్టు=ORG, ఎర్నాకులం=LOC",Clear ORG and LOC
31,ఎ పీ జే అబ్దుల్ కలాం రామేశ్వరంలో జన్మించారు,"ఎ పీ జే అబ్దుల్ కలాం=PER, రామేశ్వరం=LOC","ఎ పీ జే అబ్దుల్ కలాం=PER, రామేశ్వరం=LOC",Full name as PER
32,విప్రో సంస్థ హైదరాబాద్ లో పెద్ద నియామక కేంద్రం నిర్వహిస్తుంది,"విప్రో=ORG, హైదరాబాద్=LOC","విప్రో=ORG, హైదరాబాద్=LOC",Clear ORG and LOC
33,ఎం ఎస్ ధోని చెన్నై సూపర్ కింగ్స్ జట్టుకు నాయకత్వం వహించారు,"ఎం ఎస్ ధోని=PER, చెన్నై సూపర్ కింగ్స్=ORG","ఎం ఎస్ ధోని=PER, చెన్నై సూపర్ కింగ్స్=ORG",Cricket team as ORG
34,ఓలా కంపెనీ బెంగళూరు లో స్థాపించబడింది,"ఓలా=ORG, బెంగళూరు=LOC","ఓలా=ORG, బెంగళూరు=LOC",Clear ORG and LOC
35,ఇందిరా గాంధీ భారత తొలి మహిళా ప్రధానమంత్రి,"ఇందిరా గాంధీ=PER, భారత=LOC",ఇందిరా గాంధీ=PER,Disagreement: భారత as LOC or not annotated
36,ఆంధ్రప్రదేశ్ రాజధాని అమరావతి అని ప్రభుత్వం నిర్ణయించింది,"ఆంధ్రప్రదేశ్=LOC, అమరావతి=LOC","ఆంధ్రప్రదేశ్=LOC, అమరావతి=LOC",Two LOC entities
37,రిలయన్స్ ఇండస్ట్రీస్ ముంబై లో ప్రధాన కార్యాలయం కలిగి ఉంది,"రిలయన్స్ ఇండస్ట్రీస్=ORG, ముంబై=LOC","రిలయన్స్ ఇండస్ట్రీస్=ORG, ముంబై=LOC",Clear ORG and LOC
38,సోనియా గాంధీ కాంగ్రెస్ పార్టీకి అధ్యక్షురాలిగా పనిచేశారు,"సోనియా గాంధీ=PER, కాంగ్రెస్ పార్టీ=ORG","సోనియా గాంధీ=PER, కాంగ్రెస్ పార్టీ=ORG",Clear PER and ORG
39,నల్లమల అడవులు తెలంగాణలో విస్తరించి ఉన్నాయి,"నల్లమల అడవులు=LOC, తెలంగాణ=LOC","నల్లమల=LOC, తెలంగాణ=LOC",Disagreement: span of forest name
40,జవహర్లాల్ నెహ్రూ భారత తొలి ప్రధానమంత్రి,"జవహర్లాల్ నెహ్రూ=PER, భారత=LOC",జవహర్లాల్ నెహ్రూ=PER,Disagreement: భారత as LOC or not annotated
41,బీసీసీఐ ముంబై లో ప్రధాన కార్యాలయం నిర్వహిస్తుంది,"బీసీసీఐ=ORG, ముంబై=LOC","బీసీసీఐ=ORG, ముంబై=LOC",BCCI as ORG
42,నారాయణ మూర్తి ఇన్ఫోసిస్ సంస్థను స్థాపించారు,"నారాయణ మూర్తి=PER, ఇన్ఫోసిస్=ORG","నారాయణ మూర్తి=PER, ఇన్ఫోసిస్=ORG",Clear PER and ORG
43,మణిపాల్ యూనివర్సిటీ కర్ణాటకలో ఉంది,"మణిపాల్ యూనివర్సిటీ=ORG, కర్ణాటక=LOC","మణిపాల్ యూనివర్సిటీ=ORG, కర్ణాటక=LOC",Clear ORG and LOC
44,అమిత్ షా కేంద్ర హోం మంత్రిగా పనిచేస్తున్నారు,"అమిత్ షా=PER, కేంద్ర హోం మంత్రిత్వ శాఖ=ORG",అమిత్ షా=PER,Disagreement: ministry as ORG or not annotated
45,వేదాంత సంస్థ ఒడిశాలో స్టీల్ ప్లాంట్ నెలకొల్పింది,"వేదాంత=ORG, ఒడిశా=LOC","వేదాంత=ORG, ఒడిశా=LOC",Clear ORG and LOC
46,రోహిత్ శర్మ భారత క్రికెట్ జట్టు కెప్టెన్,"రోహిత్ శర్మ=PER, భారత క్రికెట్ జట్టు=ORG","రోహిత్ శర్మ=PER, భారత క్రికెట్ జట్టు=ORG",Clear PER and ORG
47,నీతి ఆయోగ్ ఢిల్లీ లో ఉంది,"నీతి ఆయోగ్=ORG, ఢిల్లీ=LOC","నీతి ఆయోగ్=ORG, ఢిల్లీ=LOC",Government body as ORG
48,ప్రణబ్ ముఖర్జీ భారత రాష్ట్రపతిగా పనిచేశారు,"ప్రణబ్ ముఖర్జీ=PER, భారత=LOC",ప్రణబ్ ముఖర్జీ=PER,Disagreement: భారత as LOC or not annotated
49,జొమాటో సంస్థ గుర్గావ్ లో ప్రధాన కార్యాలయం కలిగి ఉంది,"జొమాటో=ORG, గుర్గావ్=LOC","జొమాటో=ORG, గుర్గావ్=LOC",Clear ORG and LOC
50,మన్మోహన్ సింగ్ ఆర్థిక సంస్కరణలకు మార్గం సుగమం చేశారు,మన్మోహన్ సింగ్=PER,మన్మోహన్ సింగ్=PER,"Only PER, no LOC or ORG"
51,టాటా మోటర్స్ పుణె లో కార్లు తయారు చేస్తుంది,"టాటా మోటర్స్=ORG, పుణె=LOC","టాటా మోటర్స్=ORG, పుణె=LOC",Clear ORG and LOC
52,ఉత్తరప్రదేశ్ లో యోగి ఆదిత్యనాథ్ ముఖ్యమంత్రిగా ఉన్నారు,"యోగి ఆదిత్యనాథ్=PER, ఉత్తరప్రదేశ్=LOC","యోగి ఆదిత్యనాథ్=PER, ఉత్తరప్రదేశ్=LOC",Clear PER and LOC
53,హిందుస్తాన్ యూనిలివర్ ముంబైలో నమోదైంది,"హిందుస్తాన్ యూనిలివర్=ORG, ముంబై=LOC","హిందుస్తాన్ యూనిలివర్=ORG, ముంబై=LOC",Clear ORG and LOC
54,డాక్టర్ బీఆర్ అంబేద్కర్ నాగ్పూర్ లో బౌద్ధమతాన్ని స్వీకరించారు,"డాక్టర్ బీఆర్ అంబేద్కర్=PER, నాగ్పూర్=LOC","బీఆర్ అంబేద్కర్=PER, నాగ్పూర్=LOC",Disagreement: డాక్టర్ as part of PER span or not
55,జీ ఎస్ పీ సీ గుజరాత్ లో గ్యాస్ ఉత్పత్తి చేస్తుంది,"జీ ఎస్ పీ సీ=ORG, గుజరాత్=LOC","జీ ఎస్ పీ సీ=ORG, గుజరాత్=LOC",Abbreviation as ORG
56,మమతా బెనర్జీ పశ్చిమ బెంగాల్ ముఖ్యమంత్రి,"మమతా బెనర్జీ=PER, పశ్చిమ బెంగాల్=LOC","మమతా బెనర్జీ=PER, పశ్చిమ బెంగాల్=LOC",Clear PER and LOC
57,పేటీఎం నోయిడాలో స్థాపించబడింది,"పేటీఎం=ORG, నోయిడా=LOC","పేటీఎం=ORG, నోయిడా=LOC",Clear ORG and LOC
58,అటల్ బిహారీ వాజ్పేయి లక్నో నుండి ఎన్నికయ్యారు,"అటల్ బిహారీ వాజ్పేయి=PER, లక్నో=LOC","అటల్ బిహారీ వాజ్పేయి=PER, లక్నో=LOC",Clear PER and LOC
59,స్నాప్ డీల్ సంస్థ ఢిల్లీలో ఉంది,"స్నాప్ డీల్=ORG, ఢిల్లీ=LOC","స్నాప్ డీల్=ORG, ఢిల్లీ=LOC",Clear ORG and LOC
60,కపిల్ దేవ్ భారత క్రికెట్ జట్టును 1983 ప్రపంచ కప్ లో నాయకత్వం వహించారు,"కపిల్ దేవ్=PER, భారత క్రికెట్ జట్టు=ORG","కపిల్ దేవ్=PER, భారత క్రికెట్ జట్టు=ORG",Clear PER and ORG
61,హైదరాబాద్ మెట్రో రైలు ప్రయాణికులకు అనుకూలంగా ఉంది,"హైదరాబాద్ మెట్రో రైలు=ORG, హైదరాబాద్=LOC","హైదరాబాద్=LOC, హైదరాబాద్ మెట్రో రైలు=ORG",Disagreement: span overlap between LOC and ORG
62,అరవింద్ కేజ్రీవాల్ ఆమ్ ఆద్మీ పార్టీని స్థాపించారు,"అరవింద్ కేజ్రీవాల్=PER, ఆమ్ ఆద్మీ పార్టీ=ORG","అరవింద్ కేజ్రీవాల్=PER, ఆమ్ ఆద్మీ పార్టీ=ORG",Clear PER and ORG
63,గంగా నది వారణాసి దగ్గర ప్రవహిస్తుంది,"గంగా నది=LOC, వారణాసి=LOC","గంగా=LOC, వారణాసి=LOC",Disagreement: గంగా నది vs గంగా as span
64,అశోక్ లేలాండ్ సంస్థ చెన్నై లో ఉంది,"అశోక్ లేలాండ్=ORG, చెన్నై=LOC","అశోక్ లేలాండ్=ORG, చెన్నై=LOC",Clear ORG and LOC
65,మోదీ 2014 లో లోక్ సభ ఎన్నికలలో గెలిచారు,"మోదీ=PER, లోక్ సభ=ORG","మోదీ=PER, లోక్ సభ=ORG",Lok Sabha as ORG
66,బజాజ్ ఆటో పుణె లో తయారీ కేంద్రం నిర్వహిస్తుంది,"బజాజ్ ఆటో=ORG, పుణె=LOC","బజాజ్ ఆటో=ORG, పుణె=LOC",Clear ORG and LOC
67,పి వి సింధు హైదరాబాద్ కు చెందిన బ్యాడ్మింటన్ క్రీడాకారిణి,"పి వి సింధు=PER, హైదరాబాద్=LOC","పి వి సింధు=PER, హైదరాబాద్=LOC",Clear PER and LOC
68,బంగ్లాదేశ్ క్రికెట్ జట్టు కోల్కతా లో ఆడింది,"బంగ్లాదేశ్ క్రికెట్ జట్టు=ORG, కోల్కతా=LOC","బంగ్లాదేశ్ క్రికెట్ జట్టు=ORG, కోల్కతా=LOC",Clear ORG and LOC
69,తెలంగాణ ప్రభుత్వం హైదరాబాద్ లో ఐటీ విధానం ప్రకటించింది,"తెలంగాణ ప్రభుత్వం=ORG, హైదరాబాద్=LOC","తెలంగాణ=LOC, హైదరాబాద్=LOC",Disagreement: తెలంగాణ ప్రభుత్వం as ORG vs తెలంగాణ as LOC
70,లతా మంగేష్కర్ ముంబై లో నివసించేవారు,"లతా మంగేష్కర్=PER, ముంబై=LOC","లతా మంగేష్కర్=PER, ముంబై=LOC",Clear PER and LOC
71,కోచీ మెట్రో కేరళ లో ప్రారంభించబడింది,"కోచీ మెట్రో=ORG, కేరళ=LOC","కోచీ మెట్రో=ORG, కేరళ=LOC",Clear ORG and LOC
72,ఆదిత్య బిర్లా గ్రూప్ మహారాష్ట్రలో పెట్టుబడులు పెట్టింది,"ఆదిత్య బిర్లా గ్రూప్=ORG, మహారాష్ట్ర=LOC","ఆదిత్య బిర్లా గ్రూప్=ORG, మహారాష్ట్ర=LOC",Clear ORG and LOC
73,మీరా కుమార్ లోక్ సభ స్పీకర్ గా పనిచేశారు,"మీరా కుమార్=PER, లోక్ సభ=ORG","మీరా కుమార్=PER, లోక్ సభ=ORG",Clear PER and ORG
74,జైపూర్ రాజస్థాన్ రాష్ట్ర రాజధాని,"జైపూర్=LOC, రాజస్థాన్=LOC","జైపూర్=LOC, రాజస్థాన్=LOC",Two LOC entities
75,ఉద్ధవ్ థాకరే శివసేన పార్టీ నాయకుడు,"ఉద్ధవ్ థాకరే=PER, శివసేన=ORG","ఉద్ధవ్ థాకరే=PER, శివసేన=ORG",Clear PER and ORG
76,ఎయిర్ ఇండియా ముంబై నుండి లండన్ కు విమానాలు నడిపిస్తుంది,"ఎయిర్ ఇండియా=ORG, ముంబై=LOC, లండన్=LOC","ఎయిర్ ఇండియా=ORG, ముంబై=LOC, లండన్=LOC",ORG with two LOC
77,మహేంద్ర సింగ్ ధోని రాంచీకి చెందినవారు,"మహేంద్ర సింగ్ ధోని=PER, రాంచీ=LOC","మహేంద్ర సింగ్ ధోని=PER, రాంచీ=LOC",Clear PER and LOC
78,టెక్ మహింద్రా సంస్థ పుణె లో ఉంది,"టెక్ మహింద్రా=ORG, పుణె=LOC","టెక్ మహింద్రా=ORG, పుణె=LOC",Clear ORG and LOC
79,కలాం అబ్దుల్ భారత రాష్ట్రపతిగా పనిచేశారు,"కలాం అబ్దుల్=PER, భారత=LOC",కలాం అబ్దుల్=PER,Disagreement: భారత as LOC or not
80,డీఆర్డీవో హైదరాబాద్ లో క్షిపణులను అభివృద్ధి చేస్తుంది,"డీఆర్డీవో=ORG, హైదరాబాద్=LOC","డీఆర్డీవో=ORG, హైదరాబాద్=LOC",Abbreviation as ORG
81,ఇస్రో చంద్రయాన్ మూడు మిషన్ విజయవంతంగా ముగించింది,"ఇస్రో=ORG, చంద్రయాన్ మూడు=ORG",ఇస్రో=ORG,Disagreement: చంద్రయాన్ మూడు as ORG or not
82,నర్మదా నది మధ్యప్రదేశ్ లో ప్రవహిస్తుంది,"నర్మదా నది=LOC, మధ్యప్రదేశ్=LOC","నర్మదా=LOC, మధ్యప్రదేశ్=LOC",Disagreement: నర్మదా నది vs నర్మదా as span
83,మురళీధర్ రావు బీజేపీ జాతీయ ప్రధాన కార్యదర్శి,"మురళీధర్ రావు=PER, బీజేపీ=ORG","మురళీధర్ రావు=PER, బీజేపీ=ORG",Clear PER and ORG
84,అముల్ సంస్థ గుజరాత్ లో స్థాపించబడింది,"అముల్=ORG, గుజరాత్=LOC","అముల్=ORG, గుజరాత్=LOC",Clear ORG and LOC
85,సుప్రీంకోర్టు ఢిల్లీ లో ఉంది,"సుప్రీంకోర్టు=ORG, ఢిల్లీ=LOC","సుప్రీంకోర్టు=ORG, ఢిల్లీ=LOC",Clear ORG and LOC
86,పి చిదంబరం కాంగ్రెస్ పార్టీకి చెందిన సీనియర్ నాయకుడు,"పి చిదంబరం=PER, కాంగ్రెస్ పార్టీ=ORG","పి చిదంబరం=PER, కాంగ్రెస్ పార్టీ=ORG",Clear PER and ORG
87,ఉస్మానియా యూనివర్సిటీ హైదరాబాద్ లో ఉంది,"ఉస్మానియా యూనివర్సిటీ=ORG, హైదరాబాద్=LOC","ఉస్మానియా యూనివర్సిటీ=ORG, హైదరాబాద్=LOC",Clear ORG and LOC
88,జయలలిత తమిళనాడు ముఖ్యమంత్రిగా పలు పర్యాయాలు పనిచేశారు,"జయలలిత=PER, తమిళనాడు=LOC","జయలలిత=PER, తమిళనాడు=LOC",Clear PER and LOC
89,స్టేట్ బ్యాంక్ ఆఫ్ ఇండియా ముంబైలో ప్రధాన కార్యాలయం కలిగి ఉంది,"స్టేట్ బ్యాంక్ ఆఫ్ ఇండియా=ORG, ముంబై=LOC","స్టేట్ బ్యాంక్ ఆఫ్ ఇండియా=ORG, ముంబై=LOC",Clear ORG and LOC
90,నవీన్ పట్నాయక్ ఒడిశా ముఖ్యమంత్రిగా ఉన్నారు,"నవీన్ పట్నాయక్=PER, ఒడిశా=LOC","నవీన్ పట్నాయక్=PER, ఒడిశా=LOC",Clear PER and LOC
91,బోయింగ్ సంస్థ బెంగళూరు లో ఇంజినీరింగ్ కేంద్రం నిర్వహిస్తుంది,"బోయింగ్=ORG, బెంగళూరు=LOC","బోయింగ్=ORG, బెంగళూరు=LOC",Clear ORG and LOC
92,మేఘాలయ శిలాంగ్ రాజధానిగా కలిగి ఉంది,"మేఘాలయ=LOC, శిలాంగ్=LOC","మేఘాలయ=LOC, శిలాంగ్=LOC",Two LOC entities
93,హీరో మోటోకార్ప్ ఢిల్లీ లో నమోదైంది,"హీరో మోటోకార్ప్=ORG, ఢిల్లీ=LOC","హీరో మోటోకార్ప్=ORG, ఢిల్లీ=LOC",Clear ORG and LOC
94,కె చంద్రశేఖర్ రావు తెలంగాణ తొలి ముఖ్యమంత్రి,"కె చంద్రశేఖర్ రావు=PER, తెలంగాణ=LOC","కె చంద్రశేఖర్ రావు=PER, తెలంగాణ=LOC",Clear PER and LOC
95,జీఎంఆర్ గ్రూప్ హైదరాబాద్ విమానాశ్రయాన్ని నిర్వహిస్తుంది,"జీఎంఆర్ గ్రూప్=ORG, హైదరాబాద్=LOC","జీఎంఆర్ గ్రూప్=ORG, హైదరాబాద్=LOC",Clear ORG and LOC
96,ప్రతిభా పాటిల్ భారత రాష్ట్రపతిగా ఉన్నారు,"ప్రతిభా పాటిల్=PER, భారత=LOC",ప్రతిభా పాటిల్=PER,Disagreement: భారత as LOC or not annotated
97,జిందాల్ స్టీల్ ఛత్తీస్ గఢ్ లో ఉక్కు తయారు చేస్తుంది,"జిందాల్ స్టీల్=ORG, ఛత్తీస్ గఢ్=LOC","జిందాల్ స్టీల్=ORG, ఛత్తీస్ గఢ్=LOC",Clear ORG and LOC
98,మణిశంకర్ అయ్యర్ కాంగ్రెస్ పార్టీ నాయకుడు,"మణిశంకర్ అయ్యర్=PER, కాంగ్రెస్ పార్టీ=ORG","మణిశంకర్ అయ్యర్=PER, కాంగ్రెస్ పార్టీ=ORG",Clear PER and ORG
99,శ్రీ వెంకటేశ్వర యూనివర్సిటీ తిరుపతి లో ఉంది,"శ్రీ వెంకటేశ్వర యూనివర్సిటీ=ORG, తిరుపతి=LOC","శ్రీ వెంకటేశ్వర యూనివర్సిటీ=ORG, తిరుపతి=LOC",Clear ORG and LOC
100,అల్లు అర్జున్ హైదరాబాద్ కు చెందిన సినీ నటుడు,"అల్లు అర్జున్=PER, హైదరాబాద్=LOC","అల్లు అర్జున్=PER, హైదరాబాద్=LOC",Clear PER and LOC
101,సల్మాన్ ఖాన్ ముంబైలో నివసిస్తారు,"సల్మాన్ ఖాన్=PER, ముంబై=LOC","సల్మాన్ ఖాన్=PER, ముంబై=LOC",Clear PER and LOC
102,రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియా ముంబైలో ఉంది,"రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియా=ORG, ముంబై=LOC","రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియా=ORG, ముంబై=LOC",Clear ORG and LOC
103,సైనా నెహ్వాల్ హైదరాబాద్ కు చెందిన బ్యాడ్మింటన్ ఆటగాళ్ళు,"సైనా నెహ్వాల్=PER, హైదరాబాద్=LOC","సైనా నెహ్వాల్=PER, హైదరాబాద్=LOC",Clear PER and LOC
104,హిందుస్తాన్ పెట్రోలియం కార్పొరేషన్ ముంబైలో నమోదైంది,"హిందుస్తాన్ పెట్రోలియం కార్పొరేషన్=ORG, ముంబై=LOC","హిందుస్తాన్ పెట్రోలియం కార్పొరేషన్=ORG, ముంబై=LOC",Clear ORG and LOC
105,దేవేంద్ర ఫడ్నవీస్ మహారాష్ట్ర ముఖ్యమంత్రి,"దేవేంద్ర ఫడ్నవీస్=PER, మహారాష్ట్ర=LOC","దేవేంద్ర ఫడ్నవీస్=PER, మహారాష్ట్ర=LOC",Clear PER and LOC
106,జాతీయ స్టాక్ ఎక్స్ఛేంజ్ ముంబైలో ఉంది,"జాతీయ స్టాక్ ఎక్స్ఛేంజ్=ORG, ముంబై=LOC","జాతీయ స్టాక్ ఎక్స్ఛేంజ్=ORG, ముంబై=LOC",Clear ORG and LOC
107,మిల్ఖా సింగ్ పంజాబ్ కు చెందిన ప్రఖ్యాత అథ్లెట్,"మిల్ఖా సింగ్=PER, పంజాబ్=LOC","మిల్ఖా సింగ్=PER, పంజాబ్=LOC",Clear PER and LOC
108,బ్రహ్మపుత్ర నది అస్సాంలో ప్రవహిస్తుంది,"బ్రహ్మపుత్ర నది=LOC, అస్సాం=LOC","బ్రహ్మపుత్ర=LOC, అస్సాం=LOC",Disagreement: బ్రహ్మపుత్ర నది vs బ్రహ్మపుత్ర as span
109,ఆర్కె పచౌరి టెరి సంస్థకు నేతృత్వం వహించారు,"ఆర్కె పచౌరి=PER, టెరి=ORG","ఆర్కె పచౌరి=PER, టెరి=ORG",Clear PER and ORG
110,చెన్నై లో ఐఐటీ మద్రాస్ ఉంది,"ఐఐటీ మద్రాస్=ORG, చెన్నై=LOC","ఐఐటీ మద్రాస్=ORG, చెన్నై=LOC",Clear ORG and LOC
111,మహాత్మా గాంధీ పోర్బందర్ లో జన్మించారు,"మహాత్మా గాంధీ=PER, పోర్బందర్=LOC","మహాత్మా గాంధీ=PER, పోర్బందర్=LOC",Clear PER and LOC
112,భారత్ పెట్రోలియం కార్పొరేషన్ ముంబైలో నమోదైంది,"భారత్ పెట్రోలియం కార్పొరేషన్=ORG, ముంబై=LOC","భారత్ పెట్రోలియం కార్పొరేషన్=ORG, ముంబై=LOC",Clear ORG and LOC
113,నితిన్ గడ్కరీ నాగ్పూర్ నుండి ఎన్నికయ్యారు,"నితిన్ గడ్కరీ=PER, నాగ్పూర్=LOC","నితిన్ గడ్కరీ=PER, నాగ్పూర్=LOC",Clear PER and LOC
114,మహీంద్రా అండ్ మహీంద్రా పుణె లో ఉంది,"మహీంద్రా అండ్ మహీంద్రా=ORG, పుణె=LOC","మహీంద్రా అండ్ మహీంద్రా=ORG, పుణె=LOC",Clear ORG and LOC
